origin,destination,distance_km,num_stops,traffic_level,hour_day,delivery_time_minutes
C,E,29.471253184741006,1,3,2,95.7891543578668
E,C,22.197889536672367,6,2,22,91.61079834660931
D,A,25.66514117854426,1,4,13,95.50629272397114
E,A,2.396372886022827,5,1,20,25.0177602959222
A,A,15.643866649322861,6,4,15,87.96320828096657
E,D,21.259350315084138,7,4,14,104.27776565646879
E,E,16.745450952583397,3,3,6,69.60613928386664
B,E,20.332776505279046,6,3,17,102.56653200939762
B,D,24.718347844123702,4,2,19,93.8845406026516
B,B,11.855774825845689,1,3,5,49.24418275381064
E,D,25.61139159294258,7,2,20,107.89986715717447
